[2026-03-27T19:26:43.778Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/3/5/weak-lower-wick/volume-too-light | USDT-BTC=regime-blocked/0/5/regime-fail | new_states=61 | new_events=0 | alerts=3
[2026-03-27T20:15:01.626Z] Aegis monitor | pairs=6 | USDT-PAXG=value-pullback-watch/1/5/above-value-band/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=161 | new_events=0 | alerts=2
[2026-03-27T20:20:01.716Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-close-location/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=162 | new_events=0 | alerts=2
[2026-03-27T20:25:01.817Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-close-location/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=159 | new_events=0 | alerts=2
[2026-03-27T20:30:01.909Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-close-location/volume-too-light | USDT-BTC=regime-blocked/0/5/regime-fail | new_states=166 | new_events=0 | alerts=2
[2026-03-27T20:35:01.745Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-close-location/volume-too-light | USDT-BTC=regime-blocked/0/5/regime-fail | new_states=159 | new_events=0 | alerts=2
[2026-03-27T20:40:01.237Z] Aegis monitor | pairs=6 | USDT-PAXG=liquidity-screen/4/5/volume-too-light/volume-too-light | USDT-BTC=regime-blocked/0/5/regime-fail | new_states=164 | new_events=0 | alerts=2
[2026-03-27T20:45:01.318Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-close-location/volume-too-light | USDT-BTC=regime-blocked/0/5/regime-fail | new_states=150 | new_events=0 | alerts=2
[2026-03-27T20:50:01.405Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-close-location/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=170 | new_events=0 | alerts=2
[2026-03-27T20:55:01.503Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/below-reclaim-trigger/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=151 | new_events=0 | alerts=2
[2026-03-27T21:00:01.620Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/3/5/weak-close-location/ok | USDT-BTC=regime-blocked/0/5/regime-fail | new_states=156 | new_events=2 | alerts=1
[2026-03-27T21:05:01.460Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/3/5/weak-close-location/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=12 | new_events=0 | alerts=2
[2026-03-27T21:10:01.923Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/3/5/weak-lower-wick/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=156 | new_events=0 | alerts=3
[2026-03-27T21:15:02.010Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-close-location/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=155 | new_events=0 | alerts=2
[2026-03-27T21:20:01.096Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-close-location/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=167 | new_events=0 | alerts=2
[2026-03-27T21:25:01.187Z] Aegis monitor | pairs=6 | USDT-PAXG=liquidity-screen/4/5/volume-too-light/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=158 | new_events=0 | alerts=2
[2026-03-27T21:30:01.268Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-close-location/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=160 | new_events=0 | alerts=2
[2026-03-27T21:35:01.050Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/3/5/weak-lower-wick/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=175 | new_events=0 | alerts=3
[2026-03-27T21:40:01.497Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/3/5/weak-lower-wick/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=166 | new_events=0 | alerts=3
[2026-03-27T21:45:01.587Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/3/5/weak-lower-wick/volume-too-light | USDT-BTC=regime-blocked/0/5/regime-fail | new_states=167 | new_events=0 | alerts=3
[2026-03-27T21:50:01.684Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-lower-wick/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=173 | new_events=1 | alerts=3
[2026-03-27T21:55:01.776Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-close-location/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=158 | new_events=0 | alerts=2
[2026-03-27T22:00:01.875Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-close-location/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=159 | new_events=1 | alerts=2
[2026-03-27T22:05:01.824Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-close-location/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=77 | new_events=0 | alerts=2
[2026-03-27T22:10:01.285Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-close-location/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=166 | new_events=0 | alerts=2
[2026-03-27T22:15:01.385Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-close-location/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=167 | new_events=0 | alerts=2
[2026-03-27T22:20:01.489Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-close-location/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=166 | new_events=0 | alerts=2
[2026-03-27T22:25:01.576Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-close-location/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=157 | new_events=0 | alerts=2
[2026-03-27T22:30:01.670Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-close-location/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=161 | new_events=0 | alerts=2
[2026-03-27T22:35:01.419Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/bearish-signal-close/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=166 | new_events=0 | alerts=2
[2026-03-27T22:40:01.869Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-close-location/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=156 | new_events=0 | alerts=2
[2026-03-27T22:45:01.960Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-close-location/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=154 | new_events=0 | alerts=2
[2026-03-27T22:50:01.053Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-close-location/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=165 | new_events=0 | alerts=2
[2026-03-27T22:55:01.142Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-close-location/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=159 | new_events=0 | alerts=2
[2026-03-27T23:00:01.313Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-lower-wick/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=159 | new_events=0 | alerts=3
[2026-03-27T23:05:01.722Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-close-location/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=61 | new_events=0 | alerts=2
[2026-03-27T23:10:01.402Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-close-location/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=157 | new_events=0 | alerts=2
[2026-03-27T23:15:01.487Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-close-location/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=150 | new_events=0 | alerts=2
[2026-03-27T23:20:01.586Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-lower-wick/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=156 | new_events=0 | alerts=3
[2026-03-27T23:25:01.676Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-lower-wick/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=152 | new_events=0 | alerts=3
[2026-03-27T23:30:01.758Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-lower-wick/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=156 | new_events=0 | alerts=3
[2026-03-27T23:35:01.696Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-lower-wick/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=167 | new_events=0 | alerts=3
[2026-03-27T23:40:01.150Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-close-location/volume-too-light | USDT-BTC=regime-blocked/2/5/regime-fail | new_states=159 | new_events=0 | alerts=2
[2026-03-27T23:45:01.247Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-lower-wick/volume-too-light | USDT-BTC=regime-blocked/0/5/regime-fail | new_states=160 | new_events=0 | alerts=3
[2026-03-27T23:50:01.326Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-close-location/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=163 | new_events=0 | alerts=2
[2026-03-27T23:55:01.416Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/3/5/weak-lower-wick/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=167 | new_events=0 | alerts=3
[2026-03-28T00:00:01.529Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-close-location/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=171 | new_events=0 | alerts=2
[2026-03-28T00:05:01.617Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-close-location/volume-too-light | USDT-BTC=regime-blocked/2/5/regime-fail | new_states=76 | new_events=0 | alerts=2
[2026-03-28T00:10:01.054Z] Aegis monitor | pairs=6 | USDT-PAXG=momentum-reset/3/5/rsi-delta-weak/volume-too-light | USDT-BTC=regime-blocked/2/5/regime-fail | new_states=173 | new_events=0 | alerts=2
[2026-03-28T00:15:01.134Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-close-location/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=166 | new_events=0 | alerts=2
[2026-03-28T00:20:01.227Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-close-location/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=171 | new_events=0 | alerts=2
[2026-03-28T00:25:01.318Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-close-location/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=166 | new_events=0 | alerts=2
[2026-03-28T00:30:01.403Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/4/5/weak-close-location/ok | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=166 | new_events=1 | alerts=1
[2026-03-28T00:35:01.295Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-close-location/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=165 | new_events=0 | alerts=2
[2026-03-28T00:40:01.754Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-close-location/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=158 | new_events=1 | alerts=2
[2026-03-28T00:45:01.842Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-lower-wick/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=152 | new_events=0 | alerts=3
[2026-03-28T00:50:01.923Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-close-location/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=159 | new_events=1 | alerts=2
[2026-03-28T00:55:02.014Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-close-location/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=148 | new_events=0 | alerts=2
[2026-03-28T01:00:01.123Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-close-location/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=159 | new_events=0 | alerts=2
[2026-03-28T01:05:01.034Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-close-location/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=60 | new_events=0 | alerts=2
[2026-03-28T01:10:01.461Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/bearish-signal-close/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=158 | new_events=0 | alerts=2
[2026-03-28T01:15:01.548Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-close-location/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=161 | new_events=0 | alerts=2
[2026-03-28T01:20:01.650Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-lower-wick/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=151 | new_events=0 | alerts=3
[2026-03-28T01:25:01.745Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-close-location/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=153 | new_events=0 | alerts=2
[2026-03-28T01:30:01.834Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/below-reclaim-trigger/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=143 | new_events=0 | alerts=2
[2026-03-28T01:35:01.772Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/below-reclaim-trigger/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=149 | new_events=0 | alerts=2
[2026-03-28T01:40:01.257Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/below-reclaim-trigger/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=161 | new_events=0 | alerts=2
[2026-03-28T01:45:01.347Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/below-reclaim-trigger/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=149 | new_events=0 | alerts=2
[2026-03-28T01:50:01.430Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/below-reclaim-trigger/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=157 | new_events=0 | alerts=2
[2026-03-28T01:55:01.523Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/below-reclaim-trigger/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=145 | new_events=0 | alerts=2
[2026-03-28T02:00:01.639Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/3/5/below-reclaim-trigger/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=155 | new_events=0 | alerts=2
[2026-03-28T02:05:01.488Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/below-reclaim-trigger/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=70 | new_events=0 | alerts=2
[2026-03-28T02:10:01.976Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/3/5/below-reclaim-trigger/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=153 | new_events=0 | alerts=2
[2026-03-28T02:15:01.055Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/3/5/below-reclaim-trigger/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=140 | new_events=0 | alerts=2
[2026-03-28T02:20:01.149Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/below-reclaim-trigger/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=159 | new_events=0 | alerts=2
[2026-03-28T02:25:01.237Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/below-reclaim-trigger/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=140 | new_events=0 | alerts=2
[2026-03-28T02:30:01.321Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/below-reclaim-trigger/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=146 | new_events=0 | alerts=2
[2026-03-28T02:35:01.071Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/below-reclaim-trigger/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=148 | new_events=0 | alerts=2
[2026-03-28T02:40:01.537Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/below-reclaim-trigger/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=145 | new_events=0 | alerts=2
[2026-03-28T02:45:01.617Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/below-reclaim-trigger/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=145 | new_events=0 | alerts=2
[2026-03-28T02:50:01.699Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/below-reclaim-trigger/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=144 | new_events=0 | alerts=2
[2026-03-28T02:55:01.790Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/below-reclaim-trigger/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=148 | new_events=0 | alerts=2
[2026-03-28T03:00:01.901Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/below-reclaim-trigger/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=137 | new_events=0 | alerts=2
[2026-03-28T03:05:01.873Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/below-reclaim-trigger/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=56 | new_events=0 | alerts=2
[2026-03-28T03:10:01.341Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/3/5/below-reclaim-trigger/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=135 | new_events=0 | alerts=2
[2026-03-28T03:15:01.429Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/3/5/below-reclaim-trigger/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=143 | new_events=0 | alerts=2
[2026-03-28T03:20:01.521Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/below-reclaim-trigger/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=144 | new_events=0 | alerts=2
[2026-03-28T03:25:01.630Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/below-reclaim-trigger/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=141 | new_events=0 | alerts=2
[2026-03-28T03:30:01.737Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/below-reclaim-trigger/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=140 | new_events=0 | alerts=2
[2026-03-28T03:35:01.560Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/below-reclaim-trigger/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=155 | new_events=0 | alerts=2
[2026-03-28T03:40:01.028Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/3/5/below-reclaim-trigger/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=139 | new_events=0 | alerts=2
[2026-03-28T03:45:01.112Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/3/5/weak-lower-wick/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=151 | new_events=0 | alerts=3
[2026-03-28T03:50:01.208Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-close-location/volume-too-light | USDT-BTC=regime-blocked/2/5/regime-fail | new_states=156 | new_events=0 | alerts=2
[2026-03-28T03:55:01.303Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/below-reclaim-trigger/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=126 | new_events=0 | alerts=2
[2026-03-28T04:00:01.432Z] Aegis monitor | pairs=6 | USDT-PAXG=momentum-reset/3/5/rsi-delta-weak/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=137 | new_events=0 | alerts=2
[2026-03-28T04:05:01.247Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/below-reclaim-trigger/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=55 | new_events=0 | alerts=2
[2026-03-28T04:10:01.684Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/below-reclaim-trigger/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=134 | new_events=0 | alerts=2
[2026-03-28T04:15:01.782Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/below-reclaim-trigger/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=138 | new_events=0 | alerts=2
[2026-03-28T04:20:01.876Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/below-reclaim-trigger/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=147 | new_events=0 | alerts=2
[2026-03-28T04:25:01.977Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/below-reclaim-trigger/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=146 | new_events=0 | alerts=2
[2026-03-28T04:30:01.065Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/3/5/below-reclaim-trigger/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=145 | new_events=0 | alerts=2
[2026-03-28T04:35:01.826Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/below-reclaim-trigger/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=139 | new_events=0 | alerts=2
[2026-03-28T04:40:01.313Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/below-reclaim-trigger/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=146 | new_events=0 | alerts=2
[2026-03-28T04:45:01.399Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/below-reclaim-trigger/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=145 | new_events=0 | alerts=2
[2026-03-28T04:50:01.479Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/below-reclaim-trigger/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=158 | new_events=0 | alerts=2
[2026-03-28T04:55:01.589Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/below-reclaim-trigger/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=152 | new_events=0 | alerts=2
[2026-03-28T05:00:01.718Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/3/5/below-reclaim-trigger/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=141 | new_events=0 | alerts=2
[2026-03-28T05:05:01.797Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/3/5/below-reclaim-trigger/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=60 | new_events=0 | alerts=2
[2026-03-28T05:10:01.255Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/3/5/weak-lower-wick/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=135 | new_events=0 | alerts=3
[2026-03-28T05:15:01.337Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/3/5/weak-lower-wick/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=133 | new_events=0 | alerts=3
[2026-03-28T05:20:01.431Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-close-location/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=139 | new_events=0 | alerts=2
